index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
2555,Ivanhoe,6/74 Marshall St,2,u,,SN,Miles,17/09/2016,7.9,3079.0,2.0,1.0,1.0,0.0,17.0,1960.0,Banyule City Council,-37.7711,145.047,Eastern Metropolitan,5549.0
12645,Dandenong North,13 Finsbury Ct,3,h,690000.0,S,Harcourts,3/03/2018,24.7,3175.0,3.0,2.0,2.0,540.0,121.0,1975.0,Greater Dandenong City Council,-37.94455,145.20036000000005,South-Eastern Metropolitan,8322.0
6371,Burwood,5/19 Hughes St,4,t,845000.0,PI,hockingstuart,3/06/2017,10.4,3125.0,4.0,3.0,2.0,94.0,184.0,,Monash City Council,-37.85213,145.10928,Southern Metropolitan,5678.0
4746,Williamstown,200 Osborne St,5,h,,SP,Greg,16/07/2016,8.0,3016.0,5.0,2.0,3.0,1019.0,278.0,1915.0,Hobsons Bay City Council,-37.8642,144.8915,Western Metropolitan,6380.0
12455,Bentleigh East,360 McKinnon Rd,3,h,1200000.0,VB,Buxton,10/02/2018,13.8,3165.0,3.0,2.0,1.0,,126.0,1940.0,Glen Eira City Council,-37.91328,145.05445,Southern Metropolitan,10969.0
4327,St Kilda,26/11 Marine Pde,1,u,354000.0,S,McGrath,30/07/2016,6.1,3182.0,1.0,1.0,1.0,1659.0,46.0,1960.0,Port Phillip City Council,-37.8699,144.9764,Southern Metropolitan,13240.0
5675,Glenroy,1/26 York St,3,t,595000.0,SP,Nelson,20/05/2017,13.0,3046.0,3.0,1.0,2.0,258.0,142.6,2001.0,Moreland City Council,-37.7047,144.9087,Northern Metropolitan,8870.0
8291,Lalor,2/7 Cooma Ct,2,u,444000.0,S,HAR,29/07/2017,16.3,3075.0,2.0,1.0,1.0,277.0,100.0,1980.0,Whittlesea City Council,-37.66612,145.0008,Northern Metropolitan,8279.0
13370,Templestowe,19 Jacobena Pl,4,h,1370000.0,VB,Fletchers,17/03/2018,15.5,3106.0,4.0,2.0,2.0,781.0,269.0,1980.0,Manningham City Council,-37.75726,145.14123,Eastern Metropolitan,6202.0
4831,Yarraville,109 Powell St,3,h,1320000.0,S,Jas,4/03/2017,7.0,3013.0,3.0,2.0,2.0,473.0,171.0,1920.0,Maribyrnong City Council,-37.8217,144.8842,Western Metropolitan,6543.0
1123,Burwood,6 Alimar Ct,4,h,1410000.0,S,Buxton,27/06/2016,11.7,3125.0,3.0,2.0,3.0,739.0,182.0,1970.0,Monash City Council,-37.8552,145.1292,Southern Metropolitan,5678.0
12488,Hillside,2 Oakwood Ct,4,h,620000.0,S,Barry,10/02/2018,18.0,3037.0,4.0,2.0,2.0,,207.0,1990.0,Brimbank City Council,-37.68954,144.73828999999995,Western Metropolitan,5556.0
10005,Viewbank,7 Northwood Dr,4,h,,SP,Nelson,26/08/2017,8.9,3084.0,4.0,2.0,2.0,1105.0,237.0,1980.0,Banyule City Council,-37.73703,145.09392,Eastern Metropolitan,2698.0
8029,Ferntree Gully,7 Austin St,3,h,740000.0,SP,Stockdale,22/07/2017,24.8,3156.0,3.0,1.0,2.0,968.0,118.0,1955.0,Knox City Council,-37.88523,145.28553,Eastern Metropolitan,10788.0
737,Braybrook,1 Moama St,3,h,765000.0,S,GL,25/02/2017,10.8,3019.0,3.0,1.0,1.0,658.0,105.0,1960.0,Maribyrnong City Council,-37.7905,144.8485,Western Metropolitan,3589.0
11317,Carlton North,563 Canning St,3,h,1650000.0,SP,Nelson,11/11/2017,3.5,3054.0,3.0,1.0,1.0,195.0,123.0,1890.0,Melbourne City Council,-37.7831,144.9751,Northern Metropolitan,3106.0
7644,Hawthorn,13 Violet Gr,3,h,1910000.0,S,Jellis,12/08/2017,5.3,3122.0,3.0,2.0,2.0,242.0,165.0,1990.0,Boroondara City Council,-37.82834,145.03937,Southern Metropolitan,11308.0
7511,Sunbury,13 McComb St,4,h,410000.0,PI,Brad,8/07/2017,31.7,3429.0,4.0,2.0,2.0,587.0,164.0,1986.0,Hume City Council,-37.58231,144.69961999999995,Western Metropolitan,14092.0
3204,Newport,75 Oakbank St,2,h,922000.0,S,Williams,17/09/2016,8.4,3015.0,2.0,1.0,0.0,301.0,380.0,,Hobsons Bay City Council,-37.8472,144.8907,Western Metropolitan,5498.0
537,Bentleigh,23 Yawla St,3,h,1500000.0,PI,hockingstuart,7/05/2016,13.0,3204.0,3.0,2.0,1.0,565.0,222.0,1940.0,Glen Eira City Council,-37.9134,145.0263,Southern Metropolitan,6795.0
6994,Sandhurst,4 Galilee Dr,4,h,645000.0,SP,Harcourts,24/06/2017,34.7,3977.0,4.0,2.0,2.0,448.0,187.0,2010.0,Frankston City Council,-38.0817,145.19654,South-Eastern Metropolitan,1721.0
4489,Surrey Hills,2/23 Clyde St,2,u,600000.0,VB,Noel,27/11/2016,11.2,3127.0,2.0,1.0,2.0,124.0,80.0,1985.0,Boroondara City Council,-37.8159,145.0902,Southern Metropolitan,5457.0
9142,Windsor,5 Gladstone St,3,h,1425000.0,S,Jellis,16/09/2017,4.6,3181.0,3.0,1.0,1.0,188.0,150.0,1907.0,Port Phillip City Council,-37.85277,144.98485,Southern Metropolitan,4380.0
7059,Brunswick,13 Blair St,2,h,860000.0,PI,Walshe,27/05/2017,5.2,3056.0,2.0,1.0,1.0,245.0,106.0,1890.0,Moreland City Council,-37.77111,144.96427,Northern Metropolitan,11918.0
12819,Templestowe,8 Strand Ct,4,h,1475000.0,SP,Barry,3/03/2018,15.5,3106.0,4.0,2.0,2.0,845.0,236.0,1980.0,Manningham City Council,-37.77239,145.15868999999995,Eastern Metropolitan,6202.0
